Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R003772,"Manno, Roger ",Manno & Associates LLC,Fraternal Order of Police Lodge 35,03/09/20-10/31/20
R000414,"Mansfield, Andrea ",Manis Canning & Associates,Maryland Chiefs of Police Association,11/18/19-10/31/20
R008237,"Mansfield, Andrea ",Manis Canning & Associates,Maryland Chiefs of Police Association,11/01/21-10/31/22
R004476,"Mansfield, Andrea ",Manis Canning & Associates,Maryland Chiefs of Police Association,11/01/20-10/31/21
R012385,"Mansfield, Andrea ",Manis Canning & Associates,Maryland Chiefs of Police Association,11/01/22-10/31/23
R003107,Maryland Legislative Agenda for Women (MLAW),"Morgan, Jessica ",Maryland Legislative Agenda for Women (MLAW),01/06/20-04/30/20
R014663,"McDonough, Caitlin E",Harris Jones & Malone,House of Ruth Maryland,11/01/22-10/31/23
R002296,"Montgomery, Richard Adolphus, III","Maryland State Bar Association, Inc.","Maryland State Bar Association, Inc.",11/01/19-10/31/20
R004876,"Nalley, Justin ",ACLU of Maryland,ACLU of Maryland,11/01/20-10/31/21
R002166,"Nalley, Justin ",ACLU of Maryland,ACLU of Maryland,11/01/19-10/31/20
R009096,"Nalley, Justin ",ACLU of Maryland,ACLU of Maryland,11/01/21-03/04/22
R002691,"Nash, Katie ",Energy Advocacy,Greater Good Maryland,11/20/19-10/31/20
R014083,"Shapiro, Melanie ",Maryland Network Against Domestic Violence,Maryland Network Against Domestic Violence,11/01/22-10/31/23
R010689,"Shapiro, Melanie ",Maryland Network Against Domestic Violence,Maryland Network Against Domestic Violence,11/01/21-10/31/22
R007164,"Shapiro, Melanie ",Maryland Network Against Domestic Violence,Maryland Network Against Domestic Violence,01/11/21-10/31/21
R011590,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Organizing Black,01/24/22-10/31/22
R003350,"Shipp, Michael Preston",The Campaign for the Fair Sentencing of Youth,Campaign for the Fair Sentencing of Youth,01/22/20-10/31/20
R011556,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Organizing Black,01/24/22-08/10/22
R005585,"Spielberger, Joseph ",ACLU of Maryland,ACLU of Maryland,11/01/20-08/13/21
R001208,"Spielberger, Joseph ",ACLU of Maryland,ACLU of Maryland,11/01/19-10/31/20
R008653,"Stierhoff, John R.",Venable LLP,"Fraternal Order of Police, Baltimore County Lodge #4",11/01/21-12/31/21
R000522,"Stierhoff, John R.",Venable LLP,"Fraternal Order of Police, Baltimore County Lodge #4",11/01/19-10/31/20
R004900,"Stierhoff, John R.",Venable LLP,"Fraternal Order of Police, Baltimore County Lodge #4",11/01/20-10/31/21
R009441,"Tompsett Jr., Thomas R.",Harris Jones & Malone,House of Ruth Maryland,11/01/21-10/31/22
R015044,"Tompsett Jr., Thomas R.",Harris Jones & Malone,House of Ruth Maryland,11/01/22-10/31/23
R001271,"Wallerstedt, Anne Zmuda",Maryland Catholic Conference,Maryland Catholic Conference,11/01/19-09/11/20
R003450,"Weisel, Meredith R.",Anti-Defamation League,Anti-Defamation League (ADL),01/29/20-10/31/20
R014301,"Weisel, Meredith R.",Anti-Defamation League,Anti-Defamation League (ADL),11/01/22-10/31/23
R009617,"Weisel, Meredith R.",Anti-Defamation League,Anti-Defamation League (ADL),11/01/21-10/31/22
R007146,"York, Caryn C.M.",Job Opportunities Task Force (JOTF),Job Opportunities Task Force (JOTF),01/13/21-10/31/21
R003196,"York, Caryn C.M.",Job Opportunities Task Force (JOTF),Job Opportunities Task Force (JOTF),01/09/20-10/31/20
R007192,"Young, Caylin Allen",ACLU of Maryland,ACLU of Maryland,01/18/21-10/14/21
R014773,"Zeimer, Matan ",Jews United for Justice,Jews United for Justice,11/01/22-10/31/23
R007026,"Zirkin, Robert Alan",Zirkin and Schmerling Public Affairs,Level 82,01/04/21-10/31/21
R011423,"Zirkin, Robert Alan",Zirkin and Schmerling Public Affairs,"Fraternal Order of Police, Baltimore County Lodge #4",01/12/22-10/31/22
